nct,titulo,sponsor,estado_ct,fase,tipo_estudio,fecha_inicio,fecha_fin
NCT03532009,Potassium Reduction Initiative to Optimize RAAS Inhibition Therapy With Sodium Zirconium Cyclosilicate in Heart Failure,AstraZeneca,TERMINATED,PHASE2,INTERVENTIONAL,2018-06-26,2020-05-22
NCT01489722,"Safety, Tolerability, Pharmacokinetics and Efficacy of AZD1208 in Acute Myelogenous Leukemia (AML) Patients",AstraZeneca,TERMINATED,PHASE1,INTERVENTIONAL,2012-02,2014-05
NCT03961815,Open-label Extension Study of Brazikumab in Crohn's Disease,AstraZeneca,TERMINATED,PHASE3,INTERVENTIONAL,2020-01-06,2023-09-19
NCT00767247,Analysis of Antihypertensive Treatment Efficacy,AstraZeneca,TERMINATED,OBSERVATIONAL,OBSERVATIONAL,2008-05,2009-02
NCT04492722,A Study to Evaluate the Safety and Efficacy of AZD5718 in Participants With Proteinuric Chronic Kidney Disease,AstraZeneca,TERMINATED,PHASE2,INTERVENTIONAL,2020-10-01,2022-09-06
NCT00979394,Evaluation of Diabetes Care at Austrian GPs,AstraZeneca,TERMINATED,OBSERVATIONAL,OBSERVATIONAL,2009-10,2010-01
NCT06338839,Transthyretin Amyloidosis Cardiomyopathy in Patients With HFpEF in Russia,AstraZeneca,TERMINATED,OBSERVATIONAL,OBSERVATIONAL,2023-12-28,2024-06-25
NCT01027234,This Study Will Assess the Safety and Tolerability of AZD8418 After Single Increasing Oral Doses,AstraZeneca,TERMINATED,PHASE1,INTERVENTIONAL,2009-11,2010-03
NCT06130553,"A Study of AZD3470, a PRMT5 Inhibitor, Given as Monotherapy and in Combination in Patients With MTAP Deficient Advanced/Metastatic Solid Tumors",AstraZeneca,RECRUITING,PHASE1,INTERVENTIONAL,2024-01-18,2028-12-04
NCT05952557,An Adjuvant Endocrine-based Therapy Study of Camizestrant (AZD9833) in ER+/HER2- Early Breast Cancer (CAMBRIA-2),AstraZeneca,RECRUITING,PHASE3,INTERVENTIONAL,2023-10-05,2037-05-06
NCT06549595,A Study of Surovatamig (AZD0486) Plus Rituximab in Previously Untreated Follicular Lymphoma Patients,AstraZeneca,RECRUITING,PHASE3,INTERVENTIONAL,2024-08-07,2031-11-26
NCT07205666,The Eplontersen Pregnancy and Lactation Outcomes Study,AstraZeneca,RECRUITING,OBSERVATIONAL,OBSERVATIONAL,2025-11-30,2035-12-30
NCT07525375,A Phase II Study to Investigate Lung Function With 2 Different Doses of Inhaled Glycopyrronium Taken With BFF Compared to BFF in Participants of 4 to Less Than 12 Years of Age With Asthma,AstraZeneca,RECRUITING,PHASE2,INTERVENTIONAL,2026-04-14,2029-05-23
NCT06878261,A Study to Investigate the Efficacy and Safety of Tezepelumab in Adult Participants With Moderate to Very Severe COPD (D5241C00007),AstraZeneca,RECRUITING,PHASE3,INTERVENTIONAL,2025-03-25,2029-06-05
NCT07613424,A Study of MET Concordance and Gene Profiling in 1L NSCLC (Genomet),AstraZeneca,RECRUITING,NA,INTERVENTIONAL,2026-06-02,2027-03-31
NCT06103864,A Phase III Study of Dato-DXd With or Without Durvalumab Compared With Investigator's Choice of Chemotherapy in Combination With Pembrolizumab in Patients With PD-L1 Positive Locally Recurrent Inoperable or Metastatic Triple-negative Breast Cancer (TROPION-Breast05),AstraZeneca,RECRUITING,PHASE3,INTERVENTIONAL,2023-11-23,2030-09-30
NCT06897930,"A Study to Investigate the Safety, Tolerability, and Efficacy of AZD0120 in Adults With Refractory SLE",AstraZeneca,RECRUITING,PHASE1,INTERVENTIONAL,2025-04-21,2029-05-01
NCT07065344,"A Multicenter Observational Study to Understand the Clinical Characteristics, Treatment Patterns and Access to Novel Therapies of Patients With Diffuse Large B-Cell Lymphoma in the MEA Region",AstraZeneca,RECRUITING,OBSERVATIONAL,OBSERVATIONAL,2025-07-23,2027-01-31
NCT06417814,A Study to Investigate the Efficacy and Safety of Dato-DXd With or Without Osimertinib Compared With Platinum Based Doublet Chemotherapy in Participants With EGFR-Mutated Locally Advanced or Metastatic Non-Small Cell Lung Cancer,AstraZeneca,RECRUITING,PHASE3,INTERVENTIONAL,2024-10-04,2028-09-27
